Category,Category ID
Home Theater Speakers and Subwoofers,1
Digital Cameras,2
GPS Devices,3
Apple Mac Laptops,4
DVD Players,5
MP3 & Digital Media Players,6
Video Games Systems,7
Televisions,8
Cell Phones,9
Tablet PCs,10
Home Theater Systems,11
Apple Mac Desktops,12
PDAs,13
Camcorders,14
Monitors,15
Car Amplifiers,16
Film Cameras,17
Camera Flashes,18
Processor Upgrades,19
Multimedia Projectors,20
Hard Drives,21
Printers,22
Car Speakers and Subwoofers,23
Routers,24
Home Audio Receivers,25
Rangefinders,26
Calculators,27
Scanners,28
